,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,itemknn,1,popularity,0.0,0.8304486941133256,0.3771523225500644,0.10198494182067078,0.34822725116487124,0.24306355522756856,0.10397039030955585,0.00882515168229454,0.006043553456457827,0.01647312082790221,-0.83143491083938,-0.6298583294073343,-0.8354602710362392
1,itemknn,1,popularity,0.2,0.9000056387289268,0.2334338606469954,0.10232717316906229,0.3522132757063532,0.13991558040050328,0.10397039030955585,0.015444015444015444,0.007445533492458484,0.02097461333152768,-0.791457371356299,-0.7526720536979074,-0.7886126602464161
2,itemknn,1,popularity,0.4,0.9093654408535685,0.20997141248963103,0.10232717316906229,0.3531643729363338,0.11373031997643293,0.10430686406460296,0.01765030336458908,0.008013813417297237,0.022572636116894945,-0.6789432653884524,-0.7589072120080442,-0.7766924755051327
3,itemknn,1,popularity,0.6,0.9223844842873361,0.1709464569261761,0.10198494182067078,0.35517241561521107,0.08079930999489575,0.10397039030955585,0.019305019305019305,0.008625556514820642,0.02433584999351088,-0.6430871217283695,-0.7728890821580479,-0.7558126564475556
4,itemknn,1,popularity,0.8,0.9443619636888008,0.10625546273255118,0.10335386721423682,0.3541916363123556,0.04335103972473491,0.10531628532974428,0.019305019305019305,0.009117433796601947,0.025451418865922983,-0.4333080743377692,-0.8068990365769758,-0.7067669337446931
5,itemknn,1,popularity,1.0,0.9502860497534384,0.09199308567365808,0.10472279260780287,0.3541432184880134,0.03585732653555967,0.1066621803499327,0.018753447324875896,0.009641799129890135,0.026225602220980845,-0.3570622516123054,-0.8068990365769758,-0.6746115523521834
6,slopeOne,1,popularity,0.0,0.8387409689243349,0.38547427420310476,0.06810403832991102,0.35617194540308716,0.26925350757717664,0.06864064602960969,0.0027578599007170436,0.0009894255130657548,0.0029508686991801102,-0.8512176107897707,-0.7052470617026245,-0.8766874925598986
7,slopeOne,1,popularity,0.2,0.9106118594194712,0.23624629695461483,0.07529089664613278,0.35915490070074246,0.17722992760750975,0.07738896366083446,0.002206287920573635,0.0009900462140063988,0.0028353336831829544,-0.8512176107897707,-0.773644858922913,-0.8394205752716004
8,slopeOne,1,popularity,0.4,0.9243589932996277,0.22303234980447856,0.07597535934291581,0.35992382125877226,0.1489703137568785,0.07806191117092867,0.0027578599007170436,0.0012155158306953544,0.003525158137671468,-0.7778567651404055,-0.7764790217911569,-0.8328784152363905
9,slopeOne,1,popularity,0.6,0.9537740482735103,0.19437094442469496,0.07802874743326489,0.3612948807794936,0.10583401259804963,0.0800807537012113,0.0027578599007170436,0.0012929341662011407,0.0037872632166979833,-0.6801796841353519,-0.791405612897242,-0.8176318891136857
10,slopeOne,1,popularity,0.8,0.9975812670596881,0.11977593316743697,0.0783709787816564,0.3611797855823736,0.05050908229865221,0.08041722745625841,0.003861003861003861,0.002126972841512478,0.006040125494444724,-0.5507678552932134,-0.8101110878276523,-0.7736904089286463
11,slopeOne,1,popularity,1.0,1.007885633926285,0.10574019433582188,0.07973990417522245,0.3615347003538627,0.04022711391031435,0.08176312247644683,0.003861003861003861,0.003023913914422267,0.008232469430478673,-0.5507678552932134,-0.8137010274607615,-0.7358467537519848
