,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,itemknn,1,personalized,0.0,0.8304486941133256,0.3771523225500644,0.108145106091718,0.34822725116487124,0.24306355522756856,0.11002691790040377,0.006398862424457874,0.006478819991084475,0.017857848199120875,-0.83143491083938,-0.6298583294073343,-0.7369390773596133
1,itemknn,1,personalized,0.2,0.8420075841949864,0.21964558596990055,0.10882956878850103,0.2761449307763156,0.14900525458431424,0.11069986541049798,0.011020263064344117,0.008159494749434313,0.022923050011567633,-0.823192119193384,-0.7560730491398002,-0.7104366249195759
2,itemknn,1,personalized,0.4,0.8498867847176915,0.18000339495200796,0.10917180013689254,0.27571330893605545,0.1359644981355986,0.11103633916554509,0.01066477070742979,0.008245941462258561,0.022767592639615426,-0.823192119193384,-0.7696770309073714,-0.6998999378754738
3,itemknn,1,personalized,0.6,0.8565347952021958,0.14728444128451193,0.10917180013689254,0.27522195104245767,0.12862716726183399,0.11103633916554509,0.01066477070742979,0.008455569098121538,0.023192490647165397,-0.823192119193384,-0.7793131846594009,-0.6880481986812531
4,itemknn,1,personalized,0.8,0.8592339736304214,0.12864323972034583,0.10985626283367557,0.27503571594127957,0.12522193025483908,0.1117092866756393,0.01066477070742979,0.008654010010213351,0.02368312652706541,-0.823192119193384,-0.8068990365769758,-0.6780119495714108
5,itemknn,1,personalized,1.0,0.8599281922522761,0.12682802464746987,0.11088295687885011,0.2748234962679444,0.1248093578859602,0.11271870794078062,0.01066477070742979,0.008782382250210193,0.02380120077418338,-0.823192119193384,-0.8068990365769758,-0.6718406297543014
6,slopeOne,1,personalized,0.0,0.8387409689243349,0.38547427420310476,0.0838466803559206,0.35617194540308716,0.26925350757717664,0.08411843876177658,0.0017774617845716318,0.0011380692815104476,0.0033636348247084117,-0.8512176107897707,-0.7052470617026245,-0.8012397416212946
7,slopeOne,1,personalized,0.2,0.8691920931105082,0.22597684559781883,0.08863791923340178,0.28306858767851206,0.16176109805259908,0.0901749663526245,0.0014219694276573053,0.0013894390556317322,0.004012972649659459,-0.8528661691189698,-0.7823362917188612,-0.7746351818897381
8,slopeOne,1,personalized,0.4,0.8845586243885364,0.18458659201327127,0.08966461327857632,0.28330881680385417,0.14571773703535584,0.09152086137281291,0.0017774617845716318,0.0015977688622551753,0.004624645212985062,-0.8528661691189698,-0.7940508315742697,-0.7652845103086691
9,slopeOne,1,personalized,0.6,0.8970759988851151,0.14953749259390864,0.08966461327857632,0.28349252582037177,0.13680580322261482,0.09152086137281291,0.0017774617845716318,0.0018103871481048868,0.005105547373588608,-0.8528661691189698,-0.8014196550317041,-0.7554861375263228
10,slopeOne,1,personalized,0.8,0.9041195940057836,0.1282139353003906,0.09000684462696783,0.28340308063525754,0.13265926728102773,0.09185733512786003,0.0017774617845716318,0.0020155993431855497,0.0055297400391605845,-0.8528661691189698,-0.8108668645925174,-0.7451194422917283
11,slopeOne,1,personalized,1.0,0.9053538365528394,0.12668862424457836,0.09069130732375086,0.2831821174197418,0.1322536710857182,0.09253028263795424,0.0017774617845716318,0.002197902030820623,0.005964089629215826,-0.8528661691189698,-0.8137010274607615,-0.73908445253967
12,SVDpp,1,personalized,0.0,0.6069350627607198,0.285099448986846,0.07255304585900069,0.35609916766652205,0.17640845967067978,0.0750336473755047,0.012086740135087096,0.00795968547390517,0.022707497503089414,-0.7387035048219242,-0.6209779524201697,-0.6105549357378144
13,SVDpp,1,personalized,0.2,0.6052523539191257,0.18223644389145627,0.07700205338809035,0.27599635150125384,0.12140995140269915,0.07940780619111709,0.011375755421258443,0.007729602920680065,0.02197196688842621,-0.7321092715051272,-0.7230078156769536,-0.6043768835718144
14,SVDpp,1,personalized,0.4,0.618783490263827,0.1374363609432398,0.07768651608487337,0.27606029101269053,0.11187192692598343,0.0800807537012113,0.011375755421258443,0.00783764720487081,0.022211924229343386,-0.7321092715051272,-0.7766679659823732,-0.6041474226804322
15,SVDpp,1,personalized,0.6,0.6256632362535097,0.1199762412608128,0.07802874743326489,0.27610526950134423,0.10865934279858341,0.08041722745625841,0.011375755421258443,0.007902863124157116,0.02243579977316205,-0.7321092715051272,-0.8000970456931902,-0.6078221631169831
16,SVDpp,1,personalized,0.8,0.6262700186469545,0.11692304775447318,0.07939767282683094,0.2759261046425408,0.10803135810874048,0.08176312247644683,0.011375755421258443,0.007933263363409116,0.022392914980899375,-0.7321092715051272,-0.8031201527526505,-0.6094519525777743
17,SVDpp,1,personalized,1.0,0.6264836314649931,0.11667079037800669,0.08008213552361396,0.2756947595271751,0.10795470580392759,0.08243606998654104,0.011375755421258443,0.007931246085352023,0.022433401610436842,-0.7321092715051272,-0.8031201527526505,-0.6075152802133503
18,NMF,1,personalized,0.0,0.755205447522812,0.3894848382509763,0.10164271047227925,0.34461374858177424,0.26968154834012675,0.10127860026917901,0.0039104159260575895,0.0030469644902634584,0.008853593576309535,-0.8520418899543702,-0.6736933817695081,-0.7914985938045255
19,NMF,1,personalized,0.2,0.7725588822935948,0.22184159853063068,0.10746064339493498,0.27545754323629035,0.1601042852752667,0.10868102288021535,0.0028439388553146107,0.0035729097895823795,0.00968138292169575,-0.8508054712074709,-0.7829031242925101,-0.7581016550706281
20,NMF,1,personalized,0.4,0.7773589037359909,0.17941801161274964,0.10643394934976044,0.27579373400427326,0.14530628623784259,0.10767160161507403,0.003199431212228937,0.003972189776491231,0.010783409228130161,-0.8508054712074709,-0.7891382826026467,-0.7448439770162552
21,NMF,1,personalized,0.6,0.7816362116277678,0.1457810404076307,0.10711841204654346,0.2757955247053649,0.13729097241310437,0.10868102288021535,0.0035549235691432635,0.004103623200672611,0.011108995085177091,-0.8508054712074709,-0.800663878266839,-0.7328542246697611
22,NMF,1,personalized,0.8,0.7850699446206906,0.12805768455978184,0.108145106091718,0.27583133695440437,0.13404701050760012,0.10969044414535666,0.0035549235691432635,0.004139609748390408,0.011174591889131523,-0.8508054712074709,-0.8065211481945433,-0.7231102717076199
23,NMF,1,personalized,1.0,0.7855737376933597,0.12708111743097497,0.10848733744010951,0.27587451799029783,0.13379200004573047,0.11002691790040377,0.0035549235691432635,0.004198519910393352,0.011328215371940929,-0.8508054712074709,-0.8065211481945433,-0.7179594637766311
