,Model,Fold,Calibration Column,Tradeoff,MACE Genres,MACE Pop,LTC,MRMC Genres,MRMC Pop,AGGDIV,Prec@10,MAP@10,MRR,GAPBB,GAPN,GAPD
0,userknn,3,personalized,0.0,0.19896778859777034,0.37294730559943534,0.1298307406320321,0.5715939461234454,0.5214820640149546,0.13102909587971098,0.00039494470774091627,0.0007895185018012819,0.0017727584275767524,-0.9936375896687448,-0.6181701946474794,-0.9773950152728755
1,userknn,3,personalized,0.1,0.188760063903465,0.2475656266456065,0.18246746893650329,0.37614268110074844,0.3628086695929513,0.18355789884788126,0.0030279094260136914,0.00330306468734589,0.008806013189899455,-0.9807986435889051,-0.5749647999514478,-0.9033135221810054
2,userknn,3,personalized,0.2,0.18885506555250187,0.2454078681762364,0.1835436845709813,0.37244340519797886,0.3581789981291774,0.18463190783050185,0.0030279094260136914,0.0032857518994959772,0.00878480319633559,-0.9807317086815635,-0.5836291500467854,-0.9029768237015375
3,userknn,3,personalized,0.3,0.1888163129907388,0.2435144813059537,0.1841307112806966,0.3709580640515886,0.35617213435466594,0.1853153680921695,0.0030279094260136914,0.003289043105393818,0.008791385608131273,-0.9807252672469657,-0.5922540222879717,-0.9026491399565908
4,userknn,3,personalized,0.4,0.18867196264153835,0.2417888472002837,0.1841307112806966,0.3704059372888051,0.35515302454404474,0.18521773091193125,0.0030279094260136914,0.003289043105393818,0.008791385608131273,-0.9807076699944777,-0.5963430968653396,-0.9021533295579478
5,userknn,3,personalized,0.5,0.18863231921069037,0.24038865631034162,0.1841307112806966,0.37020748707464873,0.3543251104662264,0.18521773091193125,0.0030279094260136914,0.003305661083109742,0.00882743214891715,-0.9806868987017532,-0.6135886857841173,-0.9017518956392258
6,userknn,3,personalized,0.6,0.18857930074281304,0.2392369712129218,0.18403287349574404,0.37003556668030246,0.3538901536135523,0.18512009373169303,0.0030279094260136914,0.0033248597841804813,0.008884114028268858,-0.98068825233656,-0.6245302847294525,-0.9015641072188791
7,userknn,3,personalized,0.7,0.18843391683703437,0.2382878554502398,0.18422854906564914,0.3699638032740676,0.3535884856313871,0.1853153680921695,0.0030279094260136914,0.0033245463359997344,0.00888333040781699,-0.9806833512450182,-0.6264543106738847,-0.9013519085297479
8,userknn,3,personalized,0.8,0.18832614421909596,0.23766208969633415,0.1843263868506017,0.36989070650743666,0.35343389193885977,0.18541300527240773,0.0030279094260136914,0.0033284957830771443,0.008900883505938808,-0.9806759762691744,-0.6273560679739751,-0.90117665912285
9,userknn,3,personalized,0.9,0.18818068845349517,0.23741630463402064,0.18471773799041188,0.36987317528604413,0.35330103862135087,0.18580355399336068,0.0030279094260136914,0.003334346815784417,0.008913316950441763,-0.9806701416363865,-0.6292094493372943,-0.9010057501436843
10,userknn,3,personalized,1.0,0.18810086836741705,0.23740106635071379,0.1851090891302221,0.3698650541835112,0.3532862775025081,0.1861941027143136,0.0030279094260136914,0.003334346815784417,0.008913316950441763,-0.980663560170602,-0.6342563813232838,-0.9008562836194695
11,itemknn,3,personalized,0.0,0.2359764508487544,0.3604073481656943,0.0021524312689560707,0.5848451753748928,0.7069867759596866,0.002148017965241164,0.0002632964718272775,0.00010938819094427309,0.00037154057691182496,-0.9976042531002662,-0.9705723764028137,-0.9940718289642517
12,itemknn,3,personalized,0.1,0.2284669500286079,0.3398411971212879,0.007044320516583505,0.4234340782872491,0.5393299885074332,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944572388827752,-0.8954397866072714,-0.9777479996307576
13,itemknn,3,personalized,0.2,0.2284669500286079,0.3398396963313985,0.007044320516583505,0.4234340782872491,0.5393297948500988,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944571922057129,-0.8954397866072714,-0.9777479996307576
14,itemknn,3,personalized,0.3,0.2284669500286079,0.3398396436721041,0.007044320516583505,0.4234340782872491,0.5393340356586123,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944570988515883,-0.8954397866072714,-0.9777479996307576
15,itemknn,3,personalized,0.4,0.22846695943205333,0.3398396963313985,0.007044320516583505,0.4234340814687679,0.5393297948500988,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944571922057129,-0.8954397866072714,-0.9777479996307576
16,itemknn,3,personalized,0.5,0.22846695943205333,0.3398395120238682,0.007044320516583505,0.4234340814687679,0.539334032933726,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944571455286506,-0.8954397866072714,-0.9777479996307576
17,itemknn,3,personalized,0.6,0.22846695943205333,0.3398395120238682,0.007044320516583505,0.4234340814687679,0.539334032933726,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944571455286506,-0.8954397866072714,-0.9777479996307576
18,itemknn,3,personalized,0.7,0.22846695943205333,0.3398395120238682,0.007044320516583505,0.4234340814687679,0.539334032933726,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944571455286506,-0.8954397866072714,-0.9777479996307576
19,itemknn,3,personalized,0.8,0.22846695943205333,0.3398395120238682,0.007044320516583505,0.4234340814687679,0.539334032933726,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944572855598375,-0.8954397866072714,-0.9777479996307576
20,itemknn,3,personalized,0.9,0.22846692725137344,0.3398394593645738,0.007044320516583505,0.4234340878137329,0.5393382737422393,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944572388827752,-0.8954397866072714,-0.9777479996307576
21,itemknn,3,personalized,1.0,0.22846692725137344,0.33984146041775976,0.007044320516583505,0.4234340878137329,0.5393398795614518,0.007029876977152899,0.00105318588730911,0.0006342832902864497,0.0018605239181858455,-0.9944572388827752,-0.8954397866072714,-0.9777479996307576
22,slopeOne,3,personalized,0.0,0.2293373086551122,0.37858782034403543,0.07690049897270326,0.598499702426996,0.5843596104786279,0.07693809802772895,0.0,0.0002681287979471234,0.0005803493066526243,-0.9956370016324687,-0.9073620985610001,-0.9873143394502643
23,slopeOne,3,personalized,0.1,0.19801121172294653,0.2825835593294755,0.12591722923393014,0.40256074575471285,0.4220070696104164,0.1262448740480375,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822166460645901,-0.8369045178097051,-0.9364519459631192
24,slopeOne,3,personalized,0.2,0.19803091065074482,0.2825912585571392,0.12591722923393014,0.4024844910230657,0.42184429507486887,0.1262448740480375,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822164126792786,-0.836707128538948,-0.9364469748749472
25,slopeOne,3,personalized,0.3,0.1980518651830915,0.2825126821133969,0.1258193914489776,0.4024530679586325,0.4218051663107023,0.12614723686779925,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822149656903473,-0.836707128538948,-0.9364488668562664
26,slopeOne,3,personalized,0.4,0.1980327615826737,0.2824546164648098,0.12601506701888268,0.40246167064347954,0.4217528432760248,0.12634251122827572,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822162259710294,-0.8363185833428262,-0.9364432651076547
27,slopeOne,3,personalized,0.5,0.1980247087664653,0.28243769966649496,0.1258193914489776,0.40246888967286615,0.42174820380315653,0.12604959968756102,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822152924297833,-0.8381781980515377,-0.9364447861122447
28,slopeOne,3,personalized,0.6,0.1980257960977827,0.2824326794804321,0.12591722923393014,0.4024708173741204,0.421744074428719,0.12614723686779925,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822149656903473,-0.8381781980515377,-0.9364443409401695
29,slopeOne,3,personalized,0.7,0.19803139513382506,0.2824239994734109,0.12611290480383525,0.40246526404863453,0.4217420989211216,0.12634251122827572,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822147323050358,-0.8381781980515377,-0.9364432651076547
30,slopeOne,3,personalized,0.8,0.19802518765354568,0.28241025100930695,0.12630858037374035,0.40246353316497435,0.42173180478400313,0.1265377855887522,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822161792939671,-0.8377688750374415,-0.9364345842521903
31,slopeOne,3,personalized,0.9,0.19802895122727668,0.28241121862384094,0.12621074258878778,0.40245565536698585,0.4217386215527778,0.12644014840851397,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822152457527211,-0.8377688750374415,-0.936436661721874
32,slopeOne,3,personalized,1.0,0.1980299177048486,0.2824081468316696,0.12630858037374035,0.40245359449785856,0.4217380863589786,0.1265377855887522,0.00105318588730911,0.0012259950934911433,0.003335140884508971,-0.9822137987637897,-0.8372598184970679,-0.9364361794521261
33,SVDpp,3,personalized,0.0,0.1763297601516633,0.2100688366684231,0.03619998043244301,0.48052208046748784,0.305510006540435,0.038078500292911543,0.017377567140600316,0.014305748848600407,0.03669443817548078,-0.8784556370341272,0.44448013892782345,-0.7055590345891842
34,SVDpp,3,personalized,0.1,0.17123283637013764,0.18786063498332514,0.047451325701986104,0.33698178683790997,0.22899498641349955,0.049306776020308536,0.022906793048973143,0.021173659695579234,0.054783323720922365,-0.8758552112161975,0.3236882941334702,-0.6041697218711554
35,SVDpp,3,personalized,0.2,0.17003602556037906,0.18451671493768748,0.04940808140103708,0.3335375457033407,0.2208084603287146,0.051259519625073226,0.0234333859926277,0.02237471476215558,0.05789429691483397,-0.8777181394497491,0.2620675193667017,-0.5850195321305217
36,SVDpp,3,personalized,0.3,0.16976327400509025,0.18174594523433416,0.05067997260542021,0.33239847699748154,0.21880060543773214,0.05252880296817028,0.0234333859926277,0.02281917383418179,0.058857209726087996,-0.8799029060278758,0.1559510474076895,-0.5750062024499412
37,SVDpp,3,personalized,0.4,0.16985548525509434,0.18007564946463114,0.05126699931513551,0.33209227105010286,0.2176881922142445,0.05311462604959969,0.023696682464454975,0.02293961629763375,0.05920116686309414,-0.8804648511809345,0.07971931104129948,-0.5697524300102975
